name,prompt,negative_prompt
Glowing Neon,"Glowing Neon, ",
Golden Hour,"Golden Hour, ",
Golden Hour Light,"Golden Hour Light, ",
Hard Shadows,"Hard Shadows, ",
Harsh Overhead Lighting,"Harsh Overhead Lighting, ",
Haunting Moonlight,"Haunting Moonlight, ",
High Key Lighting,"High Key Lighting, ",
Industrial Warehouse Lighting,"Industrial Warehouse Lighting, ",
Intense Firelight,"Intense Firelight, ",
Intense Lightning Storm,"Intense Lightning Storm, ",
Intense Police Searchlight,"Intense Police Searchlight, ",
Intimate Candlelit Bath,"Intimate Candlelit Bath, ",
Light Painting,"Light Painting, ",
Loop Lighting,"Loop Lighting, ",
Low Key Lighting,"Low Key Lighting, ",
Luminous Jellyfish Aquarium,"Luminous Jellyfish Aquarium, ",
Magical Enchanted Forest,"Magical Enchanted Forest, ",
Modern LED Strips,"Modern LED Strips, ",
Moody and Mysterious,"Moody and Mysterious, ",
Moonlit Forest,"Moonlit Forest, ",
Natural Sunlight,"Natural Sunlight, ",
Neon Glow Lighting,"Neon Glow Lighting, ",
Night Photography Lighting,"Night Photography Lighting, ",
Nostalgic Retro Diner Glow,"Nostalgic Retro Diner Glow, ",
Peaceful Starry Campfire,"Peaceful Starry Campfire, ",
Product Lighting,"Product Lighting, ",
Radiant Angelic Lighting,"Radiant Angelic Lighting, ",
Radiant Stadium Floodlights,"Radiant Stadium Floodlights, ",
Radiant Streetlamps,"Radiant Streetlamps, ",
Rembrandt Lighting,"Rembrandt Lighting, ",
Reminiscent Film Lighting,"Reminiscent Film Lighting, ",
Retro Diner Neon Signs,"Retro Diner Neon Signs, ",
Retro Neon Diner Lights,"Retro Neon Diner Lights, ",
Rim Lighting,"Rim Lighting, ",
Romantic Candlelight,"Romantic Candlelight, ",
Rustic Barn Lighting,"Rustic Barn Lighting, ",
Rustic Campfire,"Rustic Campfire, ",
Rustic Fireplace,"Rustic Fireplace, ",
Rustic Lanterns,"Rustic Lanterns, ",
Sci-fi Futuristic Lighting,"Sci-fi Futuristic Lighting, ",
Sci-fi Holographic Projections,"Sci-fi Holographic Projections, ",
Serene Zen Garden Illumination,"Serene Zen Garden Illumination, ",
Shadow Play,"Shadow Play, ",
Shimmering Lake Reflections,"Shimmering Lake Reflections, ",
Short Lighting,"Short Lighting, ",
Side Lighting,"Side Lighting, ",
Silhouette Lighting,"Silhouette Lighting, ",
Silky Water Effect (Long Exposure),"Silky Water Effect (Long Exposure), ",
Sinister Back Alley Lighting,"Sinister Back Alley Lighting, ",
Soft and Diffused Lighting,"Soft and Diffused Lighting, ",
Soft and Warm,"Soft and Warm, ",
Soft Candlelit Meditation,"Soft Candlelit Meditation, ",
Soft Illumination,"Soft Illumination, ",
Soft Pastel Glow,"Soft Pastel Glow, ",
Soft Shadows,"Soft Shadows, ",
Split Lighting,"Split Lighting, ",
Spooky Halloween Lights,"Spooky Halloween Lights, ",
Starry Night,"Starry Night, ",
Still Life Lighting,"Still Life Lighting, ",
Street Lamp Lighting,"Street Lamp Lighting, ",
Studio Portrait Lighting,"Studio Portrait Lighting, ",
Subdued Desk Lamp,"Subdued Desk Lamp, ",
Subdued Nightlight,"Subdued Nightlight, ",
Subtle Ambient Glow,"Subtle Ambient Glow, ",
Sunny Picnic in the Park,"Sunny Picnic in the Park, ",
Sunrise at the Mountains,"Sunrise at the Mountains, ",
Sunrise Over the Ocean,"Sunrise Over the Ocean, ",
Sunset Silhouette,"Sunset Silhouette, ",
Twinkling Christmas Stars,"Twinkling Christmas Stars, ",
Twinkling Fairy Lights,"Twinkling Fairy Lights, ",
Under the Christmas Tree Lights,"Under the Christmas Tree Lights, ",
Under the Streetlights,"Under the Streetlights, ",
Underwater Illumination,"Underwater Illumination, ",
Vibrant Stage Lighting,"Vibrant Stage Lighting, ",
Vintage Film Noir Lighting,"Vintage Film Noir Lighting, ",
Vivid Art Gallery Spotlights,"Vivid Art Gallery Spotlights, ",
Warm Fireplace Embers,"Warm Fireplace Embers, ",
Warm Sunset Glow,"Warm Sunset Glow, ",
Whimsical Fairy Tale Lighting,"Whimsical Fairy Tale Lighting, ",
